global_cycle,session,raw_cycle,filename,n_points,n_points_ox,n_points_red,E_min,E_max,I_min_mA,I_max_mA,I_mean_mA,Q_ox_mC,Q_red_mC,Q_total_mC
1698,0,849,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090948,1.6000293,-0.1748409086393969,0.2993413844007122,-0.01323321190597525,,-0.8969744172283051,-0.8969744172283051
1699,0,849,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,321,321,0,0.99999738,1.5912602,-0.01057318044951428,0.3077287157466166,0.06424373674806086,3.687868365144925,,3.687868365144925
1700,0,850,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090847,1.5999618,-0.1723355046780578,0.3016193139812215,-0.01274065538329728,,-0.8683084395349452,-0.8683084395349452
1701,0,850,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,321,321,0,0.99998724,1.5909601,-0.01047858784915187,0.3074348642038727,0.06419509118654308,3.683669204180189,,3.683669204180189
1702,0,851,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,312,0,312,1.0090914,1.5999517,-0.1742420789955939,0.297667117168506,-0.01373064961436128,,-0.8703140775322887,-0.8703140775322887
1703,0,851,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,317,317,0,0.99999404,1.5895641,-0.01074632550792202,0.307604158208012,0.0630859471557114,3.6464017795081385,,3.6464017795081385
1704,0,852,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090967,1.5999657,-0.1739094504135026,0.3031799151845598,-0.012552022957221519,,-0.8575202985199079,-0.8575202985199079
1705,0,852,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,319,319,0,0.99999928,1.590454,-0.01092855118053118,0.3067823035108221,0.06306795437279811,3.663923305538966,,3.663923305538966
1706,0,853,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090977,1.6000053,-0.1734889280295004,0.303260303709818,-0.012574964558616532,,-0.8589271957301922,-0.8589271957301922
1707,0,853,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000002,1.5907286,-0.01088154210668543,0.3059481070076034,0.06296351602756928,3.6696248945201217,,3.6696248945201217
1708,0,854,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0091003,1.5999794,-0.1733414943093654,0.3048099778268645,-0.012527428019931956,,-0.8567453965581254,-0.8567453965581254
1709,0,854,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,321,321,0,1.000003,1.5906681,-0.01279386039823294,0.3042062493910833,0.06325011360199373,3.6577266251326868,,3.6577266251326868
1710,0,855,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090973,1.5999695,-0.1724634422405793,0.3051273557155028,-0.012566588007192054,,-0.8593687933372979,-0.8593687933372979
1711,0,855,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,317,317,0,1.0,1.5901562,-0.01052433423885504,0.3005288558189418,0.06291242394405769,3.649801194485112,,3.649801194485112
1712,0,856,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090971,1.5999575,-0.1730602549224242,0.3060819733401998,-0.01345317689755847,,-0.9119457639938728,-0.9119457639938728
1713,0,856,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,321,321,0,0.99999964,1.5898782,-0.01096207239543615,0.3028345953616607,0.06240350047779089,3.585285873725035,,3.585285873725035
1714,0,857,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,313,0,313,1.0090989,1.5999795,-0.1721920242180444,0.3034788966178894,-0.014107824870097773,,-0.9504919294443732,-0.9504919294443732
1715,0,857,B[N94]_NiC_nit_1M KOH_ vs RHE B_05_CVA_C02.txt,318,318,0,1.0000017,1.5896903,-0.01289886329323053,0.3000969944167324,0.061298056425164116,3.560322715650432,,3.560322715650432
